time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,Cl-,OH,O3-,HClO
267.0,4.418819489815447,3.812242425358949e-05,2.5429521616789126e-06,4.450245891902139e-05,8.132653092189281e-06,2.786463226876064e-06,4.4502536465935126e-05,8.132653569775446e-06,7.656319861277708e-13,3.37288128194448e-09,1e-30,0.15400001816843797,1.290368081148263e-14,5.568804469733674e-15,4.567229021572771e-10
268.0,4.416872916643016,3.829367819779664e-05,2.549376790192988e-06,4.470006402971084e-05,8.16288553120274e-06,2.794599739261832e-06,4.4700142270861456e-05,8.162886008420528e-06,7.927595433162154e-13,3.3603498365422047e-09,1e-30,0.15400001817117537,1.3273978437769871e-14,5.5038272700546356e-15,4.5363329642890463e-10
269.0,4.414928256558051,3.84655320078865e-05,2.5557935395309043e-06,4.4898269707975886e-05,8.193113119046027e-06,2.8027369896167015e-06,4.4898348648744006e-05,8.193113595890999e-06,8.256290394419393e-13,3.3479304587178535e-09,1e-30,0.1540000181734318,1.267084528266585e-14,5.36236161625659e-15,4.502038310189866e-10
270.0,4.412990403886664,3.863755142619254e-05,2.562221142168802e-06,4.509663008840353e-05,8.223352544291797e-06,2.8108927523992477e-06,4.509670973251764e-05,8.223353020765912e-06,7.554026600058912e-13,3.3371975885102202e-09,1e-30,0.15400001817475645,1.2212553329585847e-14,5.301259565346375e-15,4.48358410886655e-10
271.0,4.411056092060775,3.8810023699091025e-05,2.5686041156969676e-06,4.5295278980822235e-05,8.253503342280852e-06,2.819008011876944e-06,4.529535933285106e-05,8.253503818376733e-06,8.612654277326283e-13,3.2979891187946584e-09,1e-30,0.15400001863869286,1.3682485096612476e-14,5.619800830727301e-15,3.841778779685521e-10
272.0,4.40912972316289,3.898255289365684e-05,2.575022994299533e-06,4.5494168920677856e-05,8.283734927895254e-06,2.8271685910193864e-06,4.5494249984301375e-05,8.28373540362019e-06,8.470685532664375e-13,3.3010476960971307e-09,1e-30,0.154000018637125,1.1174673766711987e-14,5.465929501649238e-15,3.8512722962083236e-10
273.0,4.40721206296364,3.915506389779205e-05,2.5813995299993124e-06,4.569306329580307e-05,8.313951639500449e-06,2.8352881082992883e-06,4.5693145074128164e-05,8.31395211485708e-06,8.538047406936168e-13,3.293337709743278e-09,1e-30,0.15400001862764615,1.3215401070290852e-14,5.427267688740942e-15,3.939673709813385e-10
274.0,4.405309446935764,3.9326975992460965e-05,2.5878109166481376e-06,4.5891326936504045e-05,8.344185136380222e-06,2.8434475525081637e-06,4.589140943027727e-05,8.344185611379968e-06,7.707741113760667e-13,3.2835160923785752e-09,1e-30,0.15400001862332555,1.2160684189619608e-14,5.3768244047214695e-15,3.990076040661447e-10
275.0,4.403402644069558,3.9500023675203736e-05,2.5941922002411335e-06,4.6090753461966925e-05,8.37442697132981e-06,2.851586843962537e-06,4.6090836678796084e-05,8.374427445962606e-06,7.581413140419969e-13,3.2724264067681983e-09,1e-30,0.1540000186212287,1.471253928301544e-14,5.343560196996794e-15,3.9868299728483375e-10
276.0,4.401502208953197,3.9673251102487996e-05,2.60051192751437e-06,4.629039827348658e-05,8.404641421471885e-06,2.8596651664571703e-06,4.6290482217302675e-05,8.404641895737236e-06,7.795074904789906e-13,3.2581025542777692e-09,1e-30,0.15400001861279283,9.213748915592392e-15,5.240098838239813e-15,4.056687695803464e-10
