Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
101.0,1650645109518669.2,0.0,1135887567088524.8,156544384160181.94,0.0,388338792500005.6,0.0,0.0,0.9956895232901025,O3_dominant,0.0
102.0,1645520404331070.8,0.0,1223025118404408.2,167459367538710.56,0.0,383794866429322.0,0.0,0.0,0.9951937916727678,O3_dominant,0.0
103.0,1637512200842439.8,0.0,1199814857420522.2,162701667689673.03,0.0,391832665421627.6,0.0,0.0,0.9952391865131529,O3_dominant,0.0
104.0,1629855473163667.0,0.0,1247530792413591.0,167963679241309.06,0.0,381436515707603.75,0.0,0.0,0.9950975465316889,O3_dominant,0.0
105.0,1623696107165531.2,0.0,1308300372335649.0,175035049711454.53,0.0,374940850191116.5,0.0,0.0,0.9947426461294095,O3_dominant,0.0
106.0,1618093997338151.8,0.0,1253264580898085.8,167464178953862.12,0.0,365105499548469.75,0.0,0.0,0.9949448413464264,O3_dominant,0.0
107.0,1608543128057785.0,0.0,1274387573797819.5,173775784835904.0,0.0,380986699815106.25,0.0,0.0,0.994712052779119,O3_dominant,0.0
108.0,1603564372765106.0,0.0,1318530186623524.0,172173003137000.9,0.0,371227483499520.44,0.0,0.0,0.9946801689663657,O3_dominant,0.0
109.0,1598016206192918.8,0.0,1298754661419143.2,179911723967613.03,0.0,358782647990650.25,0.0,0.0,0.9944567493024753,O3_dominant,0.0
110.0,1590520650988462.2,0.0,1308141607025140.8,176625728577081.72,0.0,369846346431853.56,0.0,0.0,0.9944524731815532,O3_dominant,0.0
111.0,1582496752268577.0,0.0,1256080633482398.5,170094195570853.06,0.0,383024037619541.9,0.0,0.0,0.9946259109512389,O3_dominant,0.0
112.0,1578312599749204.2,0.0,1318006602240830.0,183258388255231.66,0.0,379590928866605.75,0.0,0.0,0.9941871451509103,O3_dominant,0.0
113.0,1573913693218338.0,0.0,1228283662883321.5,173623367131117.72,0.0,370926209599083.5,0.0,0.0,0.9945823299822981,O3_dominant,0.0
114.0,1568011517804435.5,0.0,1420716999305479.8,188799883579980.53,0.0,386379644715934.4,0.0,0.0,0.9938045061126741,O3_dominant,0.0
115.0,1562343043965929.0,0.0,1472950084469368.0,191372780551862.88,0.0,380862320002974.9,0.0,0.0,0.9935225073304194,O3_dominant,0.0
116.0,1552998775510386.2,0.0,1347641352542932.8,185546249424968.4,0.0,377805014265851.1,0.0,0.0,0.9937389732725762,O3_dominant,0.0
117.0,1544489812028564.8,0.0,1294957509909231.8,181232151478628.22,0.0,366782368034253.5,0.0,0.0,0.9939543845937278,O3_dominant,0.0
118.0,1537886684555530.8,0.0,1334527661111274.5,187522119086041.5,0.0,374156026570519.44,0.0,0.0,0.9936442713712836,O3_dominant,0.0
119.0,1530296620439806.5,0.0,1359961648462220.0,186235464174579.78,0.0,381191370233836.1,0.0,0.0,0.9932745106939098,O3_dominant,0.0
120.0,1525132221752459.0,0.0,1396652289478209.5,189756123048000.4,0.0,393700567094571.44,0.0,0.0,0.9932652150983227,O3_dominant,0.0
121.0,1517912933809464.0,0.0,1289329991332786.2,184825205359117.25,0.0,374752077310093.56,0.0,0.0,0.993568854152309,O3_dominant,0.0
122.0,1512490303395267.2,0.0,1339377251834396.8,190045611960899.06,0.0,371889424028912.44,0.0,0.0,0.9932200394623164,O3_dominant,0.0
123.0,1507601180327623.5,0.0,1451106748276997.2,197090647389384.78,0.0,385557430978575.7,0.0,0.0,0.9929206452864587,O3_dominant,0.0
124.0,1500786917364015.2,0.0,1401069666166106.0,198395837301532.03,0.0,392621639288726.56,0.0,0.0,0.9927294720252003,O3_dominant,0.0
125.0,1497641333165162.5,0.0,1328173151463472.5,188911847923059.03,0.0,381341005081145.7,0.0,0.0,0.9931718672079055,O3_dominant,0.0
126.0,1492718432078654.0,0.0,1400686202263178.0,194975308812327.88,0.0,382013504934967.56,0.0,0.0,0.9929771126272612,O3_dominant,0.0
127.0,1484863398641109.2,0.0,1449063725531917.5,197882802477487.06,0.0,376522375833326.9,0.0,0.0,0.992467168113067,O3_dominant,0.0
128.0,1479449506567356.5,0.0,1440248231536169.5,202376501639975.72,0.0,386445945826856.44,0.0,0.0,0.9922350626444323,O3_dominant,0.0
129.0,1476358128881989.8,0.0,1444393179324706.5,204557881388142.06,0.0,386830764396830.06,0.0,0.0,0.9921400294643938,O3_dominant,0.0
130.0,1473403748711187.0,0.0,1402155262122269.8,200098082168074.8,0.0,366515463103427.4,0.0,0.0,0.9923509359419662,O3_dominant,0.0
131.0,1467344972764858.2,0.0,1342571952459117.2,200247737457807.22,0.0,379926576029215.5,0.0,0.0,0.9923126932270148,O3_dominant,0.0
132.0,1461918213642102.8,0.0,1470618626251523.0,205614379116877.5,0.0,392949528204262.4,0.0,0.0,0.9919107631452272,O3_dominant,0.0
133.0,1456282569067334.8,0.0,1357449959057610.0,199490047343641.72,0.0,374872962512826.44,0.0,0.0,0.9920522006982696,O3_dominant,0.0
134.0,1447278154320498.5,0.0,1389878999711981.8,207868894442020.44,0.0,399531148380999.75,0.0,0.0,0.9917736238434642,O3_dominant,0.0
135.0,1442619729461888.2,0.0,1496881457809341.0,209802251061644.75,0.0,379000038853323.2,0.0,0.0,0.9914918111553196,O3_dominant,0.0
136.0,1436827693403568.2,0.0,1426010923188239.5,207847350501751.0,0.0,383030343495568.3,0.0,0.0,0.9914863662286081,O3_dominant,0.0
137.0,1432453601059611.8,0.0,1475954005251596.2,213650637877588.75,0.0,371614895401414.0,0.0,0.0,0.9909897424636215,O3_dominant,0.0
138.0,1424871850444135.5,0.0,1433527032652652.0,211382187697838.4,0.0,389088917460853.44,0.0,0.0,0.9911872043311006,O3_dominant,0.0
139.0,1416688660957714.5,0.0,1427622813627586.5,210265945442016.84,0.0,381955055279590.7,0.0,0.0,0.9910569698636981,O3_dominant,0.0
140.0,1411033768716008.2,0.0,1406694029895694.8,211062376928573.22,0.0,383268142415614.1,0.0,0.0,0.9911194555716645,O3_dominant,0.0
141.0,1405552713861124.8,0.0,1459731535808109.8,216431517265976.1,0.0,363653581126194.44,0.0,0.0,0.990382648127556,O3_dominant,0.0
142.0,1398066316563556.0,0.0,1514780984840048.0,220826329462351.72,0.0,382668237209190.8,0.0,0.0,0.9903973623094293,O3_dominant,0.0
143.0,1392560131203391.2,0.0,1585149786836270.0,224155175271062.6,0.0,369730667315369.8,0.0,0.0,0.9897855191515125,O3_dominant,0.0
144.0,1384445119701335.5,0.0,1440023229871817.5,215442432152381.03,0.0,392459248088320.75,0.0,0.0,0.9902098227401347,O3_dominant,0.0
145.0,1378895951854622.5,0.0,1398959866225741.5,217372755336627.47,0.0,396038329948604.56,0.0,0.0,0.9903671534758554,O3_dominant,0.0
146.0,1375746899232768.5,0.0,1399157124016427.8,213744078112927.06,0.0,381590005528145.6,0.0,0.0,0.9902573352241841,O3_dominant,0.0
147.0,1375335627377250.2,0.0,1463925378878565.8,224859366853480.9,0.0,383776704955195.2,0.0,0.0,0.9897152593494891,O3_dominant,0.0
148.0,1371432572122149.2,0.0,1486292505675552.8,218911641819842.7,0.0,387297719069749.9,0.0,0.0,0.9895835576066339,O3_dominant,0.0
149.0,1367945568963893.0,0.0,1520155867396290.2,224615731025997.12,0.0,383609157257668.44,0.0,0.0,0.9896129638854236,O3_dominant,0.0
150.0,1359921666015973.0,0.0,1463889138298186.8,217133693354503.22,0.0,380657556642303.7,0.0,0.0,0.989614798112237,O3_dominant,0.0
151.0,1356052194797862.0,0.0,1508724229077123.2,222906682258241.78,0.0,368154382380838.0,0.0,0.0,0.9892763501066242,O3_dominant,0.0
