Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on
55,55.0,6.5,5.153548795697076,1.9197371102220812e-08,31.80204089269208,0.26157063033607947,6.444043905187973,7.0218444449617285,1.4241272472540174,2.428274550710974e-06,1.6466967082930638e-05,0.004613603044864166,1e-14,1.283715583284476e+16,880493869020093.6,212597387080.51328,6489874.097268412,899402721144761.2,2567431166568.952,equilibrium,True
56,56.0,6.5,5.152598234951237,1.892152290556609e-08,31.800273661348236,0.26269477470829816,6.458305571476602,7.037230317697764,1.42101360174384,2.2114826475770066e-06,1.5224579163769003e-05,0.004640608295785542,1e-14,1.2891642002233482e+16,889649895792868.2,217041865927.4809,6625548.898078023,898900615800226.6,2578328400446.6963,equilibrium,True
57,57.0,6.5,5.151474023745003,1.909460431478624e-08,31.819964736064343,0.2638196866952548,6.475421234320746,7.055470433476248,1.4173399342165747,2.2643777105209266e-06,1.56468759172024e-05,0.004675555522845309,1e-14,1.2952267784278378e+16,898876681490008.8,221567204546.1995,6763692.072301835,898937974561100.1,2590453556855.676,equilibrium,True
58,58.0,6.5,5.150874204073239,1.7337695256351418e-06,31.819726485861693,0.263799706094412,6.4851921474957415,7.0652217289042,1.415383746434831,1e-08,1.601585670386479e-05,0.0046816629675362174,1e-14,1.301542266511574e+16,904622289598641.8,224408766632.74033,6850435.284128034,898492737122502.1,2603084533023.148,equilibrium,True
59,59.0,6.5,5.1498164869425755,1.9264771062171842e-08,31.807460819346115,0.26093557560192987,6.505284561922414,7.082449932233672,1.4119407967202067,2.393822471527863e-06,1.6427067139558528e-05,0.00464212520569365,1e-14,1.30803130369445e+16,897331547626012.5,220806128518.85028,6740459.013496295,904083472666403.9,2616062607388.9,equilibrium,True
60,60.0,6.5,5.148012442171035,6.945495219816536e-07,31.810352351134007,0.2619427979110622,6.533751422945819,7.111931382771948,1.406087806790271,2.017870219434003e-06,1.410480309287502e-05,0.004679441935502865,1e-14,1.3146458819626822e+16,903107468735520.8,223657835629.43106,6827511.918351355,908061791502616.6,2629291763925.3643,equilibrium,True
61,61.0,6.5,5.147548292925386,1.908721847821124e-08,31.80313676779812,0.2587861868079616,6.544520259178044,7.119536273720076,1.4045858628406926,2.2318452076562122e-06,1.540279664607517e-05,0.004627994577639603,1e-14,1.3210055072764576e+16,897330306031174.9,220805517481.46875,6740440.360606298,910783599114822.2,2642011014552.915,equilibrium,True
62,62.0,6.5,5.146931921995019,1.9447444061026472e-08,31.820014080099234,0.25789668708688357,6.555521385907753,7.12964782446653,1.4025938231804433,1e-08,1.728662250523356e-05,0.004618637575608171,1e-14,1.3271649938106418e+16,897585284483169.2,220931020092.13428,6744271.527834093,912616152279578.9,2654329987621.2837,equilibrium,True
63,63.0,6.5,5.146750438792019,1.9153875328362533e-08,31.8128995536539,0.25673204791085474,6.559665948100389,7.132627787982536,1.4020078289934397,2.3468066275660862e-06,1.625351773831747e-05,0.004599701933410054,1e-14,1.3331950834882248e+16,897358200274330.2,220819245533.4139,6740859.431272915,913260418353197.8,2666390166976.4497,equilibrium,True
64,64.0,6.5,5.145335698652887,1.9179961237638096e-08,31.81951226710805,0.25798974847922,6.58168098475871,7.155900633544147,1.397448135763753,2.1743245586492317e-06,1.5219524524281811e-05,0.004636562961572159,1e-14,1.339386336965014e+16,906561288527024.8,225371808772.3589,6879833.680422158,914398137132743.0,2678772673930.028,equilibrium,True
65,65.0,6.5,5.144705107305916,1.883716212855117e-08,31.827897378139888,0.2564690828183007,6.593599740021226,7.1662984783466435,1.3954205271052382,2.1136827931509094e-06,1.4884090029214401e-05,0.00461668193764858,1e-14,1.3458376658140176e+16,905323959885654.8,224757026968.13458,6861066.4859542595,916564418601123.0,2691675331628.035,equilibrium,True
66,66.0,6.5,5.141903193726787,1.93787891461923e-08,31.8243395539228,0.2579717748362249,6.63848080229136,7.212682353319363,1.3864467489625634,2.217183530441956e-06,1.5420253172360885e-05,0.004672882343765094,1e-14,1.3524858562603612e+16,914218564238659.4,229195096422.69977,6996545.629844926,922249049644566.2,2704971712520.722,equilibrium,True
67,67.0,6.5,5.139546413071327,1.9304383212966283e-08,31.838275096892655,0.2602664059359911,6.6754335216907466,7.251929725433612,1.3789433128372088,1e-08,1.603141387567872e-05,0.0047410195492893865,1e-14,1.3589636601807136e+16,926944112029116.4,235620107764.4325,7192679.341806192,925272745706365.4,2717927320361.4272,equilibrium,True
68,68.0,6.5,5.1379819353943414,1.920988992416913e-08,31.85460708724954,0.2612485846114783,6.7006224111808335,7.27810077379687,1.3739848225309945,2.152929807001553e-06,1.499171602083585e-05,0.004776085087949877,1e-14,1.364632729427138e+16,933500953218609.8,238965266768.50833,7294795.652217731,928074782860819.9,2729265458854.276,equilibrium,True
