time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,NO2_aq,N2O4,N2O5
42.0,5.493364206532597,3.210966639514086e-06,6.165064622175652e-07,3.98555217180799e-06,1.3102466657934667e-06,6.214789465877242e-07,3.98555275676546e-06,1.3102475793118046e-06,7.844676006153842e-17,1.1906072493058331e-08,1e-30,7.285826044478626e-11,3.0237461922242195e-16,1e-30
43.0,5.476934302766866,3.3347685514877324e-06,6.287232709584913e-07,4.131631288634959e-06,1.3407175516912132e-06,6.33989809083554e-07,4.131631918412625e-06,1.3407184517514955e-06,7.498699112351377e-17,1.1742362847173645e-08,1e-30,7.139374968967958e-11,2.903405847568998e-16,1e-30
44.0,5.4608397430137385,3.4606705486179534e-06,6.408906319580513e-07,4.279849231980982e-06,1.3711884470177636e-06,6.464617733464839e-07,4.279849908981074e-06,1.3711893340448637e-06,6.667001892409372e-17,1.15851326295718e-08,1e-30,6.997584112475999e-11,2.789227309764154e-16,1e-30
45.0,5.445057654250654,3.5887428955038384e-06,6.530087844986784e-07,4.43027575009032e-06,1.4016593339797031e-06,6.588953417109313e-07,4.430276476820346e-06,1.4016602083595269e-06,6.626428927982628e-17,1.1432825829951047e-08,1e-30,6.863218183056249e-11,2.6831392938129447e-16,1e-30
46.0,5.429574609683053,3.718993251754845e-06,6.650779187477745e-07,4.582918150267645e-06,1.4321302368553476e-06,6.712908696179517e-07,4.582918929321519e-06,1.432131098954313e-06,5.809154333831885e-17,1.1285670211543545e-08,1e-30,6.731572876380838e-11,2.5811941275850153e-16,1e-30
47.0,5.41459758182836,3.849483107463752e-06,6.770969214891928e-07,4.735842189530249e-06,1.4626011405004464e-06,6.836440860573781e-07,4.735843022826907e-06,1.462601991096747e-06,5.382403319116114e-17,1.1154673287089758e-08,1e-30,6.605017185888881e-11,2.485051690371223e-16,1e-30
48.0,5.4000801815012744,3.980336769093757e-06,6.890666558070236e-07,4.889171094919762e-06,1.493072027987434e-06,6.959560502950754e-07,4.889171984438404e-06,1.493072867758565e-06,5.702466439047979e-17,1.102608097498019e-08,1e-30,6.486280207132095e-11,2.3965079141065035e-16,1e-30
49.0,5.386086662121711,4.110676856335358e-06,7.009902055613359e-07,5.0420259520254765e-06,1.5235429182513085e-06,7.082283173755804e-07,5.04202689939283e-06,1.5235437479900243e-06,9.507104754745798e-17,1.0907253402407115e-08,1e-30,1.6542847240570372e-10,1.5588760459954611e-15,1e-30
50.0,5.372725510372851,4.239108081721388e-06,7.128594801144865e-07,5.193022235361197e-06,1.554013804507728e-06,7.204501205419966e-07,5.193023241585197e-06,1.5540146252000733e-06,1.2414166251482756e-16,1.080837291731009e-08,1e-30,1.5743006489565176e-10,1.4117754037936754e-15,1e-30
51.0,5.359747805235241,4.3676939055637664e-06,7.246709118251373e-07,5.344223475410713e-06,1.5844846822634e-06,7.326213858663797e-07,5.34422454234287e-06,1.5844854944126551e-06,1.0225250749756804e-16,1.0713581297017873e-08,1e-30,1.5017053934469828e-10,1.284576348057969e-15,1e-30
