Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,Saturated_Excluded
124.0,7.907637301261259e+16,0.0,1006544695937694.2,38619088045951.22,0.0,1.0423579104250366e+16,0.0,0.0,0.9933955926030887,mixed,0.0,73
125.0,7.933361157757798e+16,0.0,968664825281318.8,45037710414107.01,0.0,1.0367945134839038e+16,0.0,0.0,0.9932946041685576,mixed,0.0,73
126.0,7.958158245442058e+16,0.0,1118475472104463.0,44878703262186.9,0.0,1.0519868449590096e+16,0.0,0.0,0.9932953082645696,mixed,0.0,73
127.0,7.979427284875701e+16,0.0,987860157700744.1,41707601809768.03,0.0,1.0490555069115872e+16,0.0,0.0,0.9932457374691973,mixed,0.0,73
128.0,7.99743027067637e+16,0.0,1067888657315317.4,48317615779642.73,0.0,1.0583096678884476e+16,0.0,0.0,0.9932850517841554,mixed,0.0,73
129.0,8.017113137290474e+16,0.0,1057770322789730.8,45595230027644.68,0.0,1.0678347692374534e+16,0.0,0.0,0.9932453341221299,mixed,0.0,73
130.0,8.04173419127894e+16,0.0,1040552762454282.0,46628642374343.21,0.0,1.060838223926256e+16,0.0,0.0,0.9930615154698065,mixed,0.0,74
131.0,8.059834239308154e+16,0.0,1087173357193469.9,56643712882212.74,0.0,1.0726067674961956e+16,0.0,0.0,0.9930687166076635,mixed,0.0,74
132.0,8.080940347988395e+16,0.0,1057710122755189.6,35244070975476.3,0.0,1.0666275368565584e+16,0.0,0.0,0.9930473630795099,mixed,0.0,74
133.0,8.099413736675579e+16,0.0,1129228654913648.0,43913408746436.49,0.0,1.0814065417302952e+16,0.0,0.0,0.9929598430982288,mixed,0.0,74
134.0,8.149396167858274e+16,0.0,1135956263324363.2,48661045922432.766,0.0,1.0537367872188052e+16,0.0,0.0,0.993039132001649,mixed,0.0,75
135.0,8.166804363310189e+16,0.0,1145215603806351.0,44855832904859.24,0.0,1.0585544483441882e+16,0.0,0.0,0.9929869901296092,mixed,0.0,75
136.0,8.188564875216437e+16,0.0,1165838208640467.0,38916816357112.375,0.0,1.0665270248146578e+16,0.0,0.0,0.9930215418687693,mixed,0.0,75
137.0,8.209088250503827e+16,0.0,1143841511813066.8,49723356517826.516,0.0,1.07168686459472e+16,0.0,0.0,0.9929837410232116,mixed,0.0,75
138.0,8.223831798776699e+16,0.0,1135489412144810.2,46544344121178.35,0.0,1.0774749250675686e+16,0.0,0.0,0.993010681201702,mixed,0.0,75
139.0,8.25140907885536e+16,0.0,1188600008545532.2,60486955409745.72,0.0,1.0790324691720026e+16,0.0,0.0,0.992748698623778,mixed,0.0,76
140.0,8.27027458108904e+16,0.0,1171830746853896.0,48988451183511.67,0.0,1.077131274439915e+16,0.0,0.0,0.9927496224616823,mixed,0.0,76
141.0,8.292097130120267e+16,0.0,1222629541445595.5,55993804266825.52,0.0,1.083259584144955e+16,0.0,0.0,0.9927346299446553,mixed,0.0,76
142.0,8.338610094234477e+16,0.0,1172614375123645.2,57455400834157.02,0.0,1.0598294164486668e+16,0.0,0.0,0.9929098549256864,mixed,0.0,77
143.0,8.354843499679467e+16,0.0,1224975046545108.8,55873146214969.914,0.0,1.0645081664092238e+16,0.0,0.0,0.992826784211044,mixed,0.0,77
144.0,8.373273347605077e+16,0.0,1225634154126377.2,49256896164561.41,0.0,1.071232018232064e+16,0.0,0.0,0.9928580164595062,mixed,0.0,77
145.0,8.385100456026458e+16,0.0,1214803735010159.0,57232908236941.336,0.0,1.0728662441630034e+16,0.0,0.0,0.9927680750902268,mixed,0.0,77
146.0,8.399543244068253e+16,0.0,1232875948005954.8,49856908873925.28,0.0,1.0751621374144524e+16,0.0,0.0,0.9928161814554131,mixed,0.0,77
147.0,8.413799751288842e+16,0.0,1225344784916987.0,65606076129666.51,0.0,1.0704294222760438e+16,0.0,0.0,0.9927870129129213,mixed,0.0,77
148.0,8.42448521985335e+16,0.0,1208717005205260.8,63708848928840.66,0.0,1.0762236883354898e+16,0.0,0.0,0.9928219485928119,mixed,0.0,77
