Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
116.0,1.4269826447290064e+16,0.0,980516933250792.5,51870004720274.414,0.0,1206283207284563.0,0.0,0.0,0.9995203083762128,O3_dominant,0.0
117.0,1.4267311993665106e+16,0.0,1071346754682388.2,51550812780732.664,0.0,1225751667590053.0,0.0,0.0,0.9995281156001922,O3_dominant,0.0
118.0,1.4263961690661638e+16,0.0,933427757965315.0,35061229158902.367,0.0,1231358289896464.5,0.0,0.0,0.9995249501505822,O3_dominant,0.0
119.0,1.4270113087066796e+16,0.0,957921097986794.2,42437898425754.195,0.0,1224763430368041.0,0.0,0.0,0.9995336002835212,O3_dominant,0.0
120.0,1.4282293105259138e+16,0.0,1013546761984347.6,43865153227335.516,0.0,1214910558716558.5,0.0,0.0,0.9995412634324125,O3_dominant,0.0
121.0,1.4285614678389982e+16,0.0,1014379662476300.5,48334375584248.71,0.0,1224986532617197.0,0.0,0.0,0.9995217643294274,O3_dominant,0.0
122.0,1.4274689162383954e+16,0.0,1009121187563049.5,44181577397424.03,0.0,1230358991831890.0,0.0,0.0,0.9995247428181776,O3_dominant,0.0
123.0,1.4263806736337988e+16,0.0,1001210091914740.4,40760906954673.48,0.0,1209677490666480.8,0.0,0.0,0.9995281908336924,O3_dominant,0.0
124.0,1.4254702367535198e+16,0.0,1026558686208687.8,45271191613189.125,0.0,1215179826373566.0,0.0,0.0,0.9995283908351659,O3_dominant,0.0
125.0,1.4239675318431108e+16,0.0,1046323731630669.9,49218740033298.625,0.0,1237502522824242.5,0.0,0.0,0.9995324605332465,O3_dominant,0.0
126.0,1.4224746661650864e+16,0.0,988610440468459.1,44686655291815.81,0.0,1222131315092307.5,0.0,0.0,0.9995278553106319,O3_dominant,0.0
127.0,1.42239997340204e+16,0.0,1027744698733676.0,49527734096283.27,0.0,1211603340895792.8,0.0,0.0,0.9995289829512314,O3_dominant,0.0
128.0,1.4224869416932826e+16,0.0,1047472606044648.9,57407010661545.62,0.0,1221019416224511.5,0.0,0.0,0.9995263327703154,O3_dominant,0.0
129.0,1.4216143268227706e+16,0.0,1117115490277359.0,60286035741202.16,0.0,1247195494513331.5,0.0,0.0,0.9995244144458193,O3_dominant,0.0
130.0,1.4188908185048956e+16,0.0,916797342039300.5,37744180141379.28,0.0,1209115971518435.5,0.0,0.0,0.9995291479330535,O3_dominant,0.0
131.0,1.4182456312014288e+16,0.0,1057269335841677.6,53434378697963.81,0.0,1241343821819895.0,0.0,0.0,0.9995306827109979,O3_dominant,0.0
132.0,1.417501155652349e+16,0.0,1049199416887960.8,45608408835424.5,0.0,1222413974170573.8,0.0,0.0,0.9995306141657003,O3_dominant,0.0
133.0,1.417041661268337e+16,0.0,1115311446704341.6,48573120561504.62,0.0,1222810520570062.8,0.0,0.0,0.9995313112183998,O3_dominant,0.0
134.0,1.4159549218981408e+16,0.0,1029774252498090.4,45391027135790.25,0.0,1219616811242093.2,0.0,0.0,0.9995293454566456,O3_dominant,0.0
135.0,1.4144771858056286e+16,0.0,973429947787751.9,45604861834884.51,0.0,1223357802316694.0,0.0,0.0,0.9995250254915762,O3_dominant,0.0
136.0,1.4138284722010752e+16,0.0,1028149214631377.0,46656207449948.51,0.0,1243436557845579.0,0.0,0.0,0.9995303165617802,O3_dominant,0.0
137.0,1.4150129900055364e+16,0.0,1192369304260460.8,59847292425747.836,0.0,1241636824298975.8,0.0,0.0,0.9995258587095659,O3_dominant,0.0
138.0,1.411656391753318e+16,0.0,979529644002565.6,41850966854934.93,0.0,1201190377391607.8,0.0,0.0,0.9995340214505064,O3_dominant,0.0
139.0,1.4115802629445674e+16,0.0,1021010929817948.5,49687842708347.445,0.0,1212542075418592.0,0.0,0.0,0.9995298369022945,O3_dominant,0.0
140.0,1.4110891029771916e+16,0.0,1011879981861591.5,45667217145045.484,0.0,1222955726259667.8,0.0,0.0,0.9995319496500175,O3_dominant,0.0
141.0,1.4113621806727818e+16,0.0,1054138013899661.5,46405048283523.89,0.0,1227657961692061.8,0.0,0.0,0.999528218780634,O3_dominant,0.0
142.0,1.4097492145828142e+16,0.0,997469525231456.9,47856225895122.305,0.0,1206109959412122.0,0.0,0.0,0.9995273550865419,O3_dominant,0.0
143.0,1.4097047672469232e+16,0.0,1020377863717492.8,45552007310706.836,0.0,1235614316658299.8,0.0,0.0,0.9995254711094519,O3_dominant,0.0
144.0,1.4078434795780824e+16,0.0,964416657782840.5,50472492474575.11,0.0,1220342019282572.8,0.0,0.0,0.999528125746201,O3_dominant,0.0
145.0,1.4083029306824924e+16,0.0,1044764937653524.4,45912444182289.23,0.0,1221746344454158.5,0.0,0.0,0.9995241705380661,O3_dominant,0.0
146.0,1.4067253981735864e+16,0.0,991151434659981.6,42329338802834.305,0.0,1219373870990359.2,0.0,0.0,0.9995297998798567,O3_dominant,0.0
147.0,1.4046242627216918e+16,0.0,950051887531021.5,46815045826912.25,0.0,1213694987430241.0,0.0,0.0,0.9995242214247319,O3_dominant,0.0
