Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,N2O4_source,N2O4_equilibrium,H2O2,plasma_on,O3_mol_L,NO_mol_L,NO2_mol_L,NO3_mol_L,N2O4_mol_L,N2O5_mol_L,HONO_mol_L,HONO2_mol_L
33.0,1.0858252561556344e+16,0.0,657755695705708.1,14082064800903.992,118640914305.59503,1008281174902124.2,3621703.009626019,806624943543435.4,0.9995473432298456,O3_dominant,0.0,equilibrium,118640914305.59503,2171650512311.2688,True,1.802469925218353e-05,0.0,1.0918744548714755e-06,2.3376227569500627e-08,1.9694391774728773e-10,1.6737467503375262e-06,6.012026995979191e-15,1.3389974062821028e-06
34.0,1.0987041662257174e+16,0.0,652863490833147.8,14330721047790.893,116882640900.17508,1016721692244372.8,3568028.911432943,813377357363559.8,0.9995486427252884,O3_dominant,0.0,equilibrium,116882640900.17508,2197408332451.4348,True,1.823848915934691e-05,0.0,1.0837533947830252e-06,2.378899693933288e-08,1.9402518389429062e-10,1.6877580091256586e-06,5.922927992978685e-15,1.3502064132235092e-06
35.0,1.1114532478134872e+16,0.0,683518472526101.5,15782057418019.602,128116705492.42126,1026460768017252.1,3910966.638963186,821168618324802.5,0.9995549527665688,O3_dominant,0.0,equilibrium,128116705492.42126,2222906495626.9746,True,1.8450123913703887e-05,0.0,1.1346406643933285e-06,2.6198215313912538e-08,2.1267373111741929e-10,1.7039248749086384e-06,6.492204620678889e-15,1.363139906419172e-06
36.0,1.123197393320608e+16,0.0,716614176587984.5,19215477285446.793,140823794071.98914,1038828048379748.4,4298870.771543147,831062443002705.4,0.9995507576233822,O3_dominant,0.0,equilibrium,140823794071.98914,2246394786641.216,True,1.864507672912209e-05,0.0,1.1895795331360542e-06,3.189769229384167e-08,2.3376749815950193e-10,1.7244545603103822e-06,7.136125480761623e-15,1.3795636553844908e-06
37.0,1.1337386517517452e+16,0.0,733091497859671.5,19853650825801.8,147374252554.84457,1046960061177593.0,4498833.957436001,837568053440945.1,0.9995452292543068,O3_dominant,0.0,equilibrium,147374252554.84457,2267477303503.49,True,1.882006161907897e-05,0.0,1.2169318864470547e-06,3.2957060370830986e-08,2.4464125924104196e-10,1.7379537015548043e-06,7.468064369343761e-15,1.3903629687119689e-06
38.0,1.1433513775721864e+16,0.0,732490004285096.0,20117719648708.5,147132513835.3594,1051384610921819.0,4491454.497719032,841107693228946.4,0.9995486690740356,O3_dominant,0.0,equilibrium,147132513835.3594,2286702755144.3726,True,1.8979632867698293e-05,0.0,1.2159334071132594e-06,3.3395414616856107e-08,2.442399729666966e-10,1.7452984541302194e-06,7.455814466213592e-15,1.3962387707600508e-06
39.0,1.1527987281848694e+16,0.0,744146715347695.5,19683134500240.984,151852654546.6636,1050538008968968.5,4635544.316311929,840430411810756.5,0.9995440629069992,O3_dominant,0.0,equilibrium,151852654546.6636,2305597456369.739,True,1.913645888786883e-05,0.0,1.2352835474771745e-06,3.267400327040003e-08,2.5207540654746155e-10,1.7438930948884877e-06,7.695003565077803e-15,1.3951144836058557e-06
40.0,1.1617960905845652e+16,0.0,746165418400950.8,20302868700649.668,152677656405.8718,1052990013566535.5,4660728.813025644,842392015513994.6,0.9995454285427356,O3_dominant,0.0,equilibrium,152677656405.8718,2323592181169.1304,True,1.928581510370378e-05,0.0,1.2386345945455782e-06,3.3702762043078446e-08,2.534449096337472e-10,1.747963422520449e-06,7.736809829622568e-15,1.398370745753231e-06
41.0,1.170628685976483e+16,0.0,749654858106301.8,20790894778832.152,154108988351.9346,1053723857932257.2,4704422.502063449,842979091050265.9,0.9995471043123176,O3_dominant,0.0,equilibrium,154108988351.9346,2341257371952.966,True,1.943243618720962e-05,0.0,1.2444270644564608e-06,3.451288533286137e-08,2.558209206642114e-10,1.749181604167547e-06,7.809341353425325e-15,1.3993452911434414e-06
42.0,1.1793021049806708e+16,0.0,740848478008222.4,18709643835066.836,150509542631.23233,1052332739065295.2,4594543.684322088,841866195846816.9,0.999550285962854,O3_dominant,0.0,equilibrium,150509542631.23233,2358604209961.342,True,1.9576414942679135e-05,0.0,1.229808473493649e-06,3.1058008766210945e-08,2.4984584076784565e-10,1.7468723468483901e-06,7.626942515974666e-15,1.3974978851057159e-06
